ID Year,Year,ID Detailed Occupation,Detailed Occupation,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
2018,"2018","172051","Civil engineers","true","true",3040,94601.92039473684,30960.745102252884,1353.6520257504342,158,"Biology","26"
2018,"2018","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",6001,99426.41143142809,20109.43411877957,1901.8561416854948,319,"Biology","26"
2018,"2018","291210","Physicians","true","true",388614,233726.74665606488,6682.996076372862,15284.678761303298,20221,"Biology","26"
2017,"2017","172051","Civil engineers","true","true",2626,87756.2216298553,27140.3745840466,1258.1087020333416,138,"Biology","26"
2017,"2017","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",6004,96342.17421718854,18561.027454438667,1902.3308975438365,317,"Biology","26"
2016,"2016","172051","Civil engineers","true","true",2585,85588.16131528046,22587.496561240972,1248.2485577080802,131,"Biology","26"
2016,"2016","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",5527,92462.05246969423,18054.878669135276,1825.2023747587828,300,"Biology","26"
2015,"2015","172051","Civil engineers","true","true",2419,85852.66267052501,23165.774782454893,1207.504973878292,114,"Biology","26"
2015,"2015","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",4884,91237.22010647011,17857.96531943076,1715.7538641841204,260,"Biology","26"
2014,"2014","172051","Civil engineers","true","true",2205,91568.15011337868,24736.156135923127,1152.857335540634,100,"Biology","26"
2014,"2014","1721YY","Miscellaneous engineers, including nuclear engineers","true","true",4887,93751.02721506037,17812.427239628178,1716.2802187285831,253,"Biology","26"
